亡	Sh.Sh
龍	Si.Si	//tc. sc Sia to leave room for 让
文	So.So
立	Su.Su
方	Sy.Sy
病	T.T
疒	T.T
冫	Td.Td
⺀	Td.Td
广	Tg.Tg	//tc
丬	Ti.Ti
门	Tl.Tl	//tc
鹿	Tx.Tx
忄	U.U
㣺	U.U
䒑	Ua.Ua
半	Ub.Ub
𢆉	Ub.Ub
𠔉	Ub.Ub
羊	Uc.Uc
𦍌	Uc.Uc
丷	Ud.Ud
米	Uf.Uf
火	Uo.Uo
灬	Uo.Uo
氵	V.V
𭕄	Vd.Vd
之	W.W
辶	W.W
定	Wd.Wd
宀	Wd.Wd
戶	Wm.Wm	//tc
户	Wm.Wm	//tc
戸	AXm.AXm
穴	Wo.Wo
礻	Ws.Ws
衤	Wt.Wt
冖	Ww.Ww
黽	Wx.Wx
心	Wz.Wz
马	X.X	//tc
乛	X.X
𠃍	X.X
㇇	X.X
コ	X.X
ユ	X.X
𦘒	Xb.Xb
肀	Xb.Xb
彐	Xb.Xb
門	Xd.Xd
皮	Xi.Xi
尸	Xm.Xm
𠃜	Xm.Xm
尹	Xma.Xma
艮	Xo.Xo
又	X.X	//tc. normally Xs
癶	Xs.Xs
龴	Xs.Xs
ス	Xs.Xs
了	Y.Y
阝	Y.Y
廴	Y.Y
𠃌	Y.Y
𠄎	Y.Y
㠯	Y.Y
卩	Y.Y
子	Y.Y
孑	Y.Y
孒	Y.Y
刀	Yd.Yd
乙	Yda.Yda
乁	Yda.Yda
⺄	Yda.Yda
乀	Yda.Yda
也	Yi.Yi
巴	Yi.Yi
力	Ym.Ym
习	Yt.Yt
己	Yyv.Yyv	//leave room for 那 yy
已	Yy.Yy
㔾	Yyb.Yyb
弓	Yz.Yz
𢎜	Yz.Yz
𢎨	Yz.Yz
糸	Z.Z
糹	Z.Z	//tc
纟	Z.Z	//tc
乚	Z.Z
𠃑	Z.Z
𠄌	Z.Z
𠃋	Z.Z
𠃊	Z.Z
㇉	Z.Z
巛	Zd.Zd
巜	Zd.Zd
爿	Zi.Zi
凵	Zi.Zi
丩	Zi.Zi
丱	Zi.Zi
屮	Zi.Zi
女	Zm.Zm
彑	Zm.Zm
厶	Zs.Zs
䜌	Zs.Zs
㐃	Zsi.Zsi
母	Zy.Zy
毌	Zy.Zy
ㄅ	Ry.Ry	b
ㄆ	Rs.Rs	p
ㄇ	Ld.Ld	m
ㄈ	H.H	f
ㄪ	AYm.AYm	v
ㄉ	MYd.MYd	d
ㄊ	Hd.Hd	t
ㄋ	Y.Y	n
ㄌ	MYm.MYm	l
ㄍ	Zd.Zd	g
ㄎ	AZ.AZ	k
ㄫ	Gr.Gr	ng
ㄏ	Gg.Gg	h
ㄐ	Zi.Zi	j
ㄑ	Z.Z	q
ㄬ	T.T	gn
ㄒ	AI.AI	x
ㄓ	ZiA.ZiA	zh
ㄔ	Oi.Oi	ch
ㄕ	Xm.Xm	sh
ㄖ	JdS.JdS	r
ㄗ	Y.Y	z
ㄘ	AZX.AZX	c
ㄙ	Zs.Zs	s
ㄚ	UdI.UdI	a
ㄛ	AIH.AIH	o
ㄜ	EdH.EdH	e
ㄝ	EdZ.EdZ	ie
ㄞ	AZM.AZM	ai
ㄟ	Yda.Yda	ei
ㄠ	ZZs.ZZs	ao
ㄡ	Xs.Xs	ou
ㄢ	XZX.XZX	an
ㄣ	ZX.ZX	en
ㄤ	Gr.Gr	ang
ㄥ	Z.Z	eng
ㄦ	Nd.Nd	er
ㄧ	A.A	yi
ㄨ	Os.Os	wu
ㄩ	Zi.Zi	yu
ㄭ	ALi.ALi	(z)i
ㆠ	RyJ.RyJ	bb
ㆣ	ZdJ.ZdJ	gg
ㆢ	ZiJ.ZiJ	jj
